No.					Name				Type1				Type2				Normal_Ability1		Normal_Ability2		Hidden_Ability		Catch_Rate			Egg_Group1			Egg_Group2			Egg_Cycle			Height(m)			Weight(kg)			HP					Attack				Defense				Spcial_Attack		Spcial_Defense		Speed				Total				
066					Machop				Fighting			Unknown				Guts				No_Guard			Steadfast			180					Human-Like			Unknown				5140				0.8					19.5				70					80					50					35					35					35					305					
067					Machoke				Fighting			Unknown				Guts				No_Guard			Steadfast			90					Human-Like			Unknown				5140				1.5					70.5				80					100					70					50					60					45					405					
068					Machamp				Fighting			Unknown				Guts				No_Guard			Steadfast			45					Human-Like			Unknown				5140				1.6					130.0				90					130					80					65					85					55					505					
069					Bellsprout			Grass				Poison				Chlorophyll			Unknown				Gluttony			255					Grass				Unknown				5140				0.7					4.0					50					75					35					70					30					40					300					
070					Weepinbell			Grass				Poison				Chlorophyll			Unknown				Gluttony			120					Grass				Unknown				5140				1.0					6.4					65					90					50					85					45					55					390					
071					Victreebel			Grass				Poison				Chlorophyll			Unknown				Gluttony			45					Grass				Unknown				5140				1.7					15.5				80					105					65					100					60					70					480					
072					Tentacool			Water				Poison				Clear_Body			Liquid_Ooze			Rain_Dish			190					Water_3				Unknown				5140				0.9					45.5				40					40					35					50					100					70					335					
073					Tentacruel			Water				Poison				Clear_Body			Liquid_Ooze			Rain_Dish			60					Water_3				Unknown				5140				1.6					55.0				80					70					65					80					120					100					515					
074					Geodude				Rock				Ground				Rock_Head			Sturdy				Sand_Veil			255					Mineral				Unknown				3855				0.4					20.0				40					80					100					30					30					20					300					
075					Graveler			Rock				Ground				Rock_Head			Sturdy				Sand_Veil			120					Mineral				Unknown				3855				1.0					105.0				55					95					115					45					45					35					390					
076					Golem				Rock				Ground				Rock_Head			Sturdy				Sand_Veil			45					Mineral				Unknown				3855				1.4					300.0				80					110					130					55					65					45					485					
077					Ponyta				Fire				Unknown				Run_Away			Flash_Fire			Flame_Body			190					Field				Unknown				5140				1.0					30.0				50					85					55					65					65					90					410					
078					Rapidash			Fire				Unknown				Run_Away			Flash_Fire			Flame_Body			60					Field				Unknown				5140				1.7					95.0				65					100					70					80					80					105					500					
079					Slowpoke			Water				Psychic				Oblivious			Own_Tempo			Regenerator			190					Monster				Water_1				5140				1.2					36.0				90					65					65					40					40					15					315					
080					Slowbro				Water				Psychic				Oblivious			Own_Tempo			Regenerator			75					Monster				Water_1				5140				1.6					78.5				95					75					110					100					80					30					490					
081					Magnemite			Electric			Steel				Magnet_Pull			Sturdy				Analytic			190					Mineral				Unknown				5140				0.3					6.0					25					35					70					95					55					45					325					
082					Magneton			Electric			Steel				Magnet_Pull			Sturdy				Analytic			60					Mineral				Unknown				5140				1.0					60.0				50					60					95					120					70					70					465					
083					Farfetch'd			Normal				Flying				Keen_Eye			Inner_Focus			Defiant				45					Flying				Field				5140				0.8					15.0				52					65					55					58					62					60					352					
084					Doduo				Normal				Flying				Run_Away			Early_Bird			Tangled_Feet		190					Flying				Unknown				5140				1.4					39.2				35					85					45					35					35					75					310					
085					Dodrio				Normal				Flying				Run_Away			Early_Bird			Tangled_Feet		45					Flying				Unknown				5140				1.8					85.2				60					110					70					60					60					100					460					
086					Seel				Water				Unknown				Thick_Fat			Hydration			Ice_Body			190					Water_1				Field				5140				1.1					90.0				65					45					55					45					70					45					325					
087					Dewgong				Water				Ice					Thick_Fat			Hydration			Ice_Body			75					Water_1				Field				5140				1.7					120.0				90					70					80					70					95					70					475					
088					Grimer				Poison				Unknown				Stench				Sticky_Hold			Poison_Touch		190					Amorphous			Unknown				5140				0.9					30.0				80					80					50					40					50					25					325					
089					Muk					Poison				Unknown				Stench				Sticky_Hold			Poison_Touch		75					Amorphous			Unknown				5140				1.2					30.0				105					105					75					65					100					50					500					
090					Shellder			Water				Unknown				Shell_Armor			Skill_Link			Overcoat			190					Water_3				Unknown				5140				0.3					4.0					30					65					100					45					25					40					305					
091					Cloyster			Water				Ice					Shell_Armor			Skill_Link			Overcoat			60					Water_3				Unknown				5140				1.5					132.5				50					95					180					85					45					70					525					
092					Gastly				Ghost				Poison				Levitate			Unknown				Unknown				190					Amorphous			Unknown				5140				1.3					0.1					30					35					30					100					35					80					310					
093					Haunter				Ghost				Poison				Levitate			Unknown				Unknown				90					Amorphous			Unknown				5140				1.6					0.1					45					50					45					115					55					95					405					
094					Gengar				Ghost				Poison				Cursed_Body			Unknown				Unknown				45					Amorphous			Unknown				5140				1.5					40.5				60					65					60					130					75					110					500					
095					Onix				Rock				Ground				Rock_Head			Sturdy				Weak_Armor			45					Mineral				Unknown				6425				8.8					210.0				35					45					160					30					45					70					385					
096					Drowzee				Psychic				Unknown				Insomnia			Forewarn			Inner_Focus			190					Human-Like			Unknown				5140				1.0					32.4				60					48					45					43					90					42					328					
097					Hypno				Psychic				Unknown				Insomnia			Forewarn			Inner_Focus			75					Human-Like			Unknown				5140				1.6					75.6				85					73					70					73					115					67					483					
098					Krabby				Water				Unknown				Hyper_Cutter		Shell_Armor			Sheer_Force			225					Water_3				Unknown				5140				0.4					6.5					30					105					90					25					25					50					325					
099					Kingler				Water				Unknown				Hyper_Cutter		Shell_Armor			Sheer_Force			60					Water_3				Unknown				5140				1.3					60.0				55					130					115					50					50					75					475					
100					Voltorb				Electric			Unknown				Soundproof			Static				Aftermath			190					Mineral				Unknown				5140				0.5					10.4				40					30					50					55					55					100					330					
101					Electrode			Electric			Unknown				Soundproof			Static				Aftermath			60					Mineral				Unknown				5140				1.2					66.6				60					50					70					80					80					140					480					
102					Exeggcute			Grass				Psychic				Chlorophyll			Unknown				Harvest				90					Grass				Unknown				5140				0.4					2.5					60					40					80					60					45					40					325					
103					Exeggutor			Grass				Psychic				Chlorophyll			Unknown				Harvest				45					Grass				Unknown				5140				2.0					120.0				95					95					85					125					65					55					520					
104					Cubone				Ground				Unknown				Rock_Head			Lightning_Rod		Battle_Armor		190					Monster				Unknown				5140				0.4					6.5					50					50					95					40					50					35					320					
105					Marowak				Ground				Unknown				Rock_Head			Lightning_Rod		Battle_Armor		75					Monster				Unknown				5140				1.0					45.0				60					80					110					50					80					45					425					
106					Hitmonlee			Fighting			Unknown				Limber				Reckless			Unburden			45					Human-Like			Unknown				6425				1.5					49.8				50					120					53					35					110					87					455					
107					Hitmonchan			Fighting			Unknown				Keen_Eye			Iron_Fist			Inner_Focus			45					Human-Like			Unknown				6425				1.4					50.2				50					105					79					35					110					76					455					
108					Lickitung			Normal				Unknown				Own_Tempo			Oblivious			Cloud_Nine			45					Monster				Unknown				5140				1.2					65.5				90					55					75					60					75					30					385					
109					Koffing				Poison				Unknown				Levitate			Unknown				Unknown				190					Amorphous			Unknown				5140				0.6					1.0					40					65					95					60					45					35					340					
110					Weezing				Poison				Unknown				Levitate			Unknown				Unknown				60					Amorphous			Unknown				5140				1.2					9.5					65					90					120					85					70					60					490					
111					Rhyhorn				Ground				Rock				Lightning_Rod		Rock_Head			Reckless			120					Monster				Field				5140				1.0					115.0				80					85					95					30					30					25					345					
112					Rhydon				Ground				Rock				Lightning_Rod		Rock_Head			Reckless			60					Monster				Field				5140				1.9					120.0				105					130					120					45					45					40					485					
113					Chansey				Normal				Unknown				Natural_Cure		Serene_Grace		Healer				30					Fairy				Unknown				10280				1.1					34.6				250					5					5					35					105					50					450					
114					Tangela				Grass				Unknown				Chlorophyll			Leaf_Guard			Regenerator			45					Grass				Unknown				5140				1.0					35.0				65					55					115					100					40					60					435					
115					Kangaskhan			Normal				Unknown				Early_Bird			Scrappy				Inner_Focus			45					Monster				Unknown				5140				2.2					80.0				105					95					80					40					80					90					490					
116					Horsea				Water				Unknown				Swift_Swim			Sniper				Damp				225					Water_1				Dragon				5140				0.4					8.0					30					40					70					70					25					60					295					
117					Seadra				Water				Unknown				Poison_Point		Sniper				Damp				75					Water_1				Dragon				5140				1.2					25.0				55					65					95					95					45					85					440					
118					Goldeen				Water				Unknown				Swift_Swim			Water_Veil			Lightning_Rod		225					Water_2				Unknown				5140				0.6					15.0				45					67					60					35					50					63					320					
119					Seaking				Water				Unknown				Swift_Swim			Water_Veil			Lightning_Rod		60					Water_2				Unknown				5140				1.3					39.0				80					92					65					65					80					68					450					
120					Staryu				Water				Unknown				Illuminate			Natural_Cure		Analytic			225					Water_3				Unknown				5140				0.8					34.5				30					45					55					70					55					85					340					
121					Starmie				Water				Psychic				Illuminate			Natural_Cure		Analytic			60					Water_3				Unknown				5140				1.1					80.0				60					75					85					100					85					115					520					
122					Mr._Mime			Psychic				Fairy				Soundproof			Filter				Technician			45					Human-Like			Unknown				6425				1.3					54.5				40					45					65					100					120					90					460					
123					Scyther				Bug					Flying				Swarm				Technician			Steadfast			45					Bug					Unknown				6425				1.5					56.0				70					110					80					55					80					105					500					
124					Jynx				Ice					Psychic				Oblivious			Forewarn			Dry_Skin			45					Human-Like			Unknown				6425				1.4					40.6				65					50					35					115					95					95					455					
125					Electabuzz			Electric			Unknown				Static				Unknown				Vital_Spirit		45					Human-Like			Unknown				6425				1.1					30.0				65					83					57					95					85					105					490					
126					Magmar				Fire				Unknown				Flame_Body			Unknown				Vital_Spirit		45					Human-Like			Unknown				6425				1.3					44.5				65					95					57					100					85					93					495					
127					Pinsir				Bug					Unknown				Hyper_Cutter		Mold_Breaker		Moxie				45					Bug					Unknown				6425				1.5					55.0				65					125					100					55					70					85					500					
128					Tauros				Normal				Unknown				Intimidate			Anger_Point			Sheer_Force			45					Field				Unknown				5140				1.4					88.4				75					100					95					40					70					110					490					
129					Magikarp			Water				Unknown				Swift_Swim			Unknown				Rattled				255					Water_2				Dragon				1285				0.9					10.0				20					10					55					15					20					80					200					
130					Gyarados			Water				Flying				Intimidate			Unknown				Moxie				45					Water_2				Dragon				1285				6.5					235.0				95					125					79					60					100					81					540					
131					Lapras				Water				Ice					Water_Absorb		Shell_Armor			Hydration			45					Monster				Water_1				10280				2.5					220.0				130					85					80					85					95					60					535					
132					Ditto				Normal				Unknown				Limber				Unknown				Imposter			35					Ditto				Unknown				5140				0.3					4.0					48					48					48					48					48					48					288					
133					Eevee				Normal				Unknown				Run_Away			Adaptability		Anticipation		45					Field				Unknown				8995				0.3					6.5					55					55					50					45					65					55					325					
134					Vaporeon			Water				Unknown				Water_Absorb		Unknown				Hydration			45					Field				Unknown				8995				1.0					29.0				130					65					60					110					95					65					525					
135					Jolteon				Electric			Unknown				Volt_Absorb			Unknown				Quick_Feet			45					Field				Unknown				8995				0.8					24.5				65					65					60					110					95					130					525					
136					Flareon				Fire				Unknown				Flash_Fire			Unknown				Guts				45					Field				Unknown				8995				0.9					25.0				65					130					60					95					110					65					525					
137					Porygon				Normal				Unknown				Trace				Download			Analytic			45					Mineral				Unknown				5140				0.8					36.5				65					60					70					85					75					40					395					
138					Omanyte				Rock				Water				Swift_Swim			Shell_Armor			Weak_Armor			45					Water_1				Water_3				7710				0.4					7.5					35					40					100					90					55					35					355					
139					Omastar				Rock				Water				Swift_Swim			Shell_Armor			Weak_Armor			45					Water_1				Water_3				7710				1.0					35.0				70					60					125					115					70					55					495					
140					Kabuto				Rock				Water				Swift_Swim			Battle_Armor		Weak_Armor			45					Water_1				Water_3				7710				0.5					11.5				30					80					90					55					45					55					355					
141					Kabutops			Rock				Water				Swift_Swim			Battle_Armor		Weak_Armor			45					Water_1				Water_3				7710				1.3					40.5				60					115					105					65					70					80					495					
142					Aerodactyl			Rock				Flying				Rock_Head			Pressure			Unnerve				45					Flying				Unknown				8995				1.8					59.0				80					105					65					60					75					130					515					
143					Snorlax				Normal				Unknown				Immunity			Thick_Fat			Gluttony			25					Monster				Unknown				10280				2.1					460.0				160					110					65					65					110					30					540					
144					Articuno			Ice					Flying				Pressure			Unknown				Snow_Cloak			3					Undiscovered		Unknown				20560				1.7					55.4				90					85					100					95					125					85					580					
145					Zapdos				Electric			Flying				Pressure			Unknown				Static				3					Undiscovered		Unknown				20560				1.6					52.6				90					90					85					125					90					100					580					
146					Moltres				Fire				Flying				Pressure			Unknown				Flame_Body			3					Undiscovered		Unknown				20560				2.0					60.0				90					100					90					125					85					90					580					
147					Dratini				Dragon				Unknown				Shed_Skin			Unknown				Marvel_Scale		45					Water_1				Dragon				10280				1.8					3.3					41					64					45					50					50					50					300					
148					Dragonair			Dragon				Unknown				Shed_Skin			Unknown				Marvel_Scale		45					Water_1				Dragon				10280				4.0					16.5				61					84					65					70					70					70					420					
149					Dragonite			Dragon				Flying				Inner_Focus			Unknown				Multiscale			45					Water_1				Dragon				10280				2.2					210.0				91					134					95					100					100					80					600					
150					Mewtwo				Psychic				Unknown				Pressure			Unknown				Unnerve				3					Undiscovered		Unknown				30840				2.0					122.0				106					110					90					154					90					130					680					
151					Mew					Psychic				Unknown				Synchronize			Unknown				Unknown				45					Undiscovered		Unknown				30840				0.4					4.0					100					100					100					100					100					100					600					
152					Chikorita			Grass				Unknown				Overgrow			Unknown				Leaf_Guard			45					Monster				Grass				5140				0.9					6.4					45					49					65					49					65					45					318					
153					Bayleef				Grass				Unknown				Overgrow			Unknown				Leaf_Guard			45					Monster				Grass				5140				1.2					15.8				60					62					80					63					80					60					405					
154					Meganium			Grass				Unknown				Overgrow			Unknown				Leaf_Guard			45					Monster				Grass				5140				1.8					100.5				80					82					100					83					100					80					525					
155					Cyndaquil			Fire				Unknown				Blaze				Unknown				Flash_Fire			45					Field				Unknown				5140				0.5					7.9					39					52					43					60					50					65					309					
156					Quilava				Fire				Unknown				Blaze				Unknown				Flash_Fire			45					Field				Unknown				5140				0.9					19.0				58					64					58					80					65					80					405					
157					Typhlosion			Fire				Unknown				Blaze				Unknown				Flash_Fire			45					Field				Unknown				5140				1.7					79.5				78					84					78					109					85					100					534					
158					Totodile			Water				Unknown				Torrent				Unknown				Sheer_Force			45					Monster				Water_1				5140				0.6					9.5					50					65					64					44					48					43					314					
159					Croconaw			Water				Unknown				Torrent				Unknown				Sheer_Force			45					Monster				Water_1				5140				1.1					25.0				65					80					80					59					63					58					405					
160					Feraligatr			Water				Unknown				Torrent				Unknown				Sheer_Force			45					Monster				Water_1				5140				2.3					88.8				85					105					100					79					83					78					530					
161					Sentret				Normal				Unknown				Run_Away			Keen_Eye			Frisk				255					Field				Unknown				3855				0.8					6.0					35					46					34					35					45					20					215					
162					Furret				Normal				Unknown				Run_Away			Keen_Eye			Frisk				90					Field				Unknown				3855				1.8					32.5				85					76					64					45					55					90					415					
163					Hoothoot			Normal				Flying				Insomnia			Keen_Eye			Tinted_Lens			255					Flying				Unknown				3855				0.7					21.2				60					30					30					36					56					50					262					
164					Noctowl				Normal				Flying				Insomnia			Keen_Eye			Tinted_Lens			90					Flying				Unknown				3855				1.6					40.8				100					50					50					76					96					70					442					
165					Ledyba				Bug					Flying				Swarm				Early_Bird			Rattled				255					Bug					Unknown				3855				1.0					10.8				40					20					30					40					80					55					265					
166					Ledian				Bug					Flying				Swarm				Early_Bird			Iron_Fist			90					Bug					Unknown				3855				1.4					35.6				55					35					50					55					110					85					390					
167					Spinarak			Bug					Poison				Swarm				Insomnia			Sniper				255					Bug					Unknown				3855				0.5					8.5					40					60					40					40					40					30					250					
168					Ariados				Bug					Poison				Swarm				Insomnia			Sniper				90					Bug					Unknown				3855				1.1					33.5				70					90					70					60					60					40					390					
169					Crobat				Poison				Flying				Inner_Focus			Unknown				Infiltrator			90					Flying				Unknown				3855				1.8					75.0				85					90					80					70					80					130					535					
170					Chinchou			Water				Electric			Volt_Absorb			Illuminate			Water_Absorb		190					Water_2				Unknown				5140				0.5					12.0				75					38					38					56					56					67					330					
171					Lanturn				Water				Electric			Volt_Absorb			Illuminate			Water_Absorb		75					Water_2				Unknown				5140				1.2					22.5				125					58					58					76					76					67					460					
172					Pichu				Electric			Unknown				Static				Unknown				Lightning_Rod		190					Undiscovered		Unknown				2570				0.3					2.0					20					40					15					35					35					60					205					
173					Cleffa				Fairy				Unknown				Cute_Charm			Magic_Guard			Friend_Guard		150					Undiscovered		Unknown				2570				0.3					3.0					50					25					28					45					55					15					218					
174					Igglybuff			Normal				Fairy				Cute_Charm			Competitive			Friend_Guard		170					Undiscovered		Unknown				2570				0.3					1.0					90					30					15					40					20					15					210					
175					Togepi				Fairy				Unknown				Hustle				Serene_Grace		Super_Luck			190					Undiscovered		Unknown				2570				0.3					1.5					35					20					65					40					65					20					245					
176					Togetic				Fairy				Flying				Hustle				Serene_Grace		Super_Luck			75					Flying				Fairy				2570				0.6					3.2					55					40					85					80					105					40					405					
177					Natu				Psychic				Flying				Synchronize			Early_Bird			Magic_Bounce		190					Flying				Unknown				5140				0.2					2.0					40					50					45					70					45					70					320					
178					Xatu				Psychic				Flying				Synchronize			Early_Bird			Magic_Bounce		75					Flying				Unknown				5140				1.5					15.0				65					75					70					95					70					95					470					
179					Mareep				Electric			Unknown				Static				Unknown				Plus				235					Monster				Field				5140				0.6					7.8					55					40					40					65					45					35					280					
180					Flaaffy				Electric			Unknown				Static				Unknown				Plus				120					Monster				Field				5140				0.8					13.3				70					55					55					80					60					45					365					
181					Ampharos			Electric			Unknown				Static				Unknown				Plus				45					Monster				Field				5140				1.4					61.5				90					75					75					115					90					55					500					
182					Bellossom			Grass				Unknown				Chlorophyll			Unknown				Healer				45					Grass				Unknown				5140				0.4					5.8					75					80					85					90					100					50					480					
183					Marill				Water				Fairy				Thick_Fat			Huge_Power			Sap_Sipper			190					Water_1				Fairy				2570				0.4					8.5					70					20					50					20					50					40					250					
184					Azumarill			Water				Fairy				Thick_Fat			Huge_Power			Sap_Sipper			75					Water_1				Fairy				2570				0.8					28.5				100					50					80					50					80					50					410					
185					Sudowoodo			Rock				Unknown				Sturdy				Rock_Head			Rattled				65					Mineral				Unknown				5140				1.2					38.0				70					100					115					30					65					30					410					
186					Politoed			Water				Unknown				Water_Absorb		Damp				Drizzle				45					Water_1				Unknown				5140				1.1					33.9				90					75					75					90					100					70					500					
187					Hoppip				Grass				Flying				Chlorophyll			Leaf_Guard			Infiltrator			255					Fairy				Grass				5140				0.4					0.5					35					35					40					35					55					50					250					
